                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91851,                 2.6407,                 1.2393,                0.80034,                0.38754,                0.47592,                 0.3458,                  1.128,                 2.5624,                 1.3692,             0.00036552,             0.00036552,             0.00036552
                      2,                 1.0067,                 1.9991,                  1.266,                0.45564,                0.50515,                0.43593,                0.30198,                 1.2866,                 2.2513,                 1.6076,             0.00070672,             0.00070672,             0.00070672
                      3,                 1.0618,                 1.8986,                 1.3018,                0.63065,                0.44561,                0.46575,                0.28437,                  1.379,                 1.9978,                 1.6054,              0.0010186,              0.0010186,              0.0010186
                      4,                 1.0454,                  1.793,                  1.308,                0.49625,                0.47746,                0.45971,                0.30521,                 1.2836,                 2.1763,                 1.5743,             0.00097901,             0.00097901,             0.00097901
                      5,                 1.0462,                 1.7091,                  1.296,                 0.6193,                 0.5354,                0.58082,                0.38002,                 1.2889,                 1.7496,                 1.5355,             0.00093502,             0.00093502,             0.00093502
                      6,                 1.0449,                 1.6068,                 1.3029,                0.60239,                0.58931,                0.58299,                0.39989,                 1.2191,                 1.5778,                 1.4654,             0.00089102,             0.00089102,             0.00089102
                      7,                 1.0211,                 1.4917,                 1.2915,                0.71311,                0.55843,                0.65985,                0.48248,                 1.1642,                 1.3674,                 1.4279,             0.00084703,             0.00084703,             0.00084703
                      8,                 0.9917,                 1.4155,                 1.2547,                0.71622,                0.58197,                0.64511,                0.45665,                 1.1739,                 1.2897,                 1.4016,             0.00080303,             0.00080303,             0.00080303
                      9,                0.97094,                 1.2874,                  1.244,                0.75903,                0.65435,                0.69433,                0.50937,                 1.0956,                 1.2118,                 1.3667,             0.00075904,             0.00075904,             0.00075904
                     10,                0.94514,                 1.2837,                  1.232,                0.79464,                0.64823,                0.70448,                0.52315,                 1.1033,                 1.2029,                 1.3754,             0.00071504,             0.00071504,             0.00071504
                     11,                0.94232,                 1.2424,                 1.2319,                0.78962,                0.64828,                0.71276,                0.51984,                 1.1442,                 1.2447,                 1.3735,             0.00067104,             0.00067104,             0.00067104
                     12,                0.91565,                  1.151,                 1.2152,                0.82107,                0.61834,                0.71323,                0.53833,                 1.0689,                 1.1379,                 1.3242,             0.00062705,             0.00062705,             0.00062705
                     13,                0.88032,                 1.0977,                 1.1799,                0.71732,                0.68098,                0.73909,                0.53574,                 1.1309,                 1.1808,                 1.3983,             0.00058305,             0.00058305,             0.00058305
                     14,                0.86694,                 1.0495,                 1.1745,                0.75433,                0.66407,                0.73774,                0.55756,                  1.064,                 1.1234,                  1.332,             0.00053906,             0.00053906,             0.00053906
                     15,                0.82774,                0.98946,                 1.1424,                0.72865,                0.69737,                0.75943,                0.57071,                 1.0065,                 1.0323,                 1.2675,             0.00049506,             0.00049506,             0.00049506
                     16,                0.79769,                 1.0404,                 1.1453,                0.82912,                0.68396,                0.76556,                 0.5815,                 1.0003,                 1.0146,                 1.2803,             0.00045107,             0.00045107,             0.00045107
                     17,                0.75625,                0.92513,                 1.1139,                0.75428,                0.72883,                0.76388,                0.58145,                0.95921,                0.99175,                   1.23,             0.00040707,             0.00040707,             0.00040707
                     18,                0.72844,                0.87553,                 1.0975,                0.80312,                0.76465,                0.79675,                0.60857,                0.97469,                0.94084,                  1.254,             0.00036307,             0.00036307,             0.00036307
                     19,                0.70417,                0.82361,                 1.0865,                 0.8546,                0.69864,                0.77976,                0.59373,                0.98543,                0.98159,                 1.2687,             0.00031908,             0.00031908,             0.00031908
                     20,                 0.6928,                0.75805,                 1.0717,                0.82235,                0.72616,                0.79451,                0.61568,                0.95052,                0.91157,                 1.2287,             0.00027508,             0.00027508,             0.00027508
                     21,                0.67108,                0.73828,                 1.0495,                0.86027,                0.74716,                0.79461,                0.62535,                0.95837,                0.90265,                 1.2313,             0.00023109,             0.00023109,             0.00023109
                     22,                 0.6515,                 0.6917,                 1.0401,                0.83531,                0.75743,                0.80478,                 0.6365,                0.94192,                0.90926,                 1.2225,             0.00018709,             0.00018709,             0.00018709
                     23,                0.65381,                0.67135,                 1.0323,                 0.7931,                0.77553,                0.80904,                0.63991,                0.94764,                0.86136,                 1.2104,              0.0001431,              0.0001431,              0.0001431
                     24,                0.62958,                0.63058,                 1.0273,                0.84631,                0.73508,                0.80032,                0.64191,                 0.9179,                0.86424,                 1.2099,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     25,                0.61553,                0.60428,                 1.0118,                0.85173,                0.72995,                0.80004,                0.63973,                0.92926,                0.85998,                  1.216,             5.5106e-05,             5.5106e-05,             5.5106e-05
